Ticker,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,FILINGMANAGER_NAME,date
BF/B,108556,1489929,SH,,NORGES BANK,2022-02-10
DOOO,33489,382040,SH,,NORGES BANK,2022-02-10
BRKR,88227,1051450,SH,,NORGES BANK,2022-02-10
BC,77310,767500,SH,,NORGES BANK,2022-02-10
117665109,1472,32700,SH,,NORGES BANK,2022-02-10
BKE,6485,153275,SH,,NORGES BANK,2022-02-10
BLDR,168874,1970291,SH,,NORGES BANK,2022-02-10
BMBL,5978,176540,SH,,NORGES BANK,2022-02-10
G16962105,133804,1433201,SH,,NORGES BANK,2022-02-10
BURL,158770,544646,SH,,NORGES BANK,2022-02-10
BY,1182,43200,SH,,NORGES BANK,2022-02-10
CHRW,111107,1032309,SH,,NORGES BANK,2022-02-10
AI,13512,432390,SH,,NORGES BANK,2022-02-10
CABO,65967,37408,SH,,NORGES BANK,2022-02-10
CBT,23340,415310,SH,,NORGES BANK,2022-02-10
CACI,60905,226235,SH,,NORGES BANK,2022-02-10
WHD,5019,131625,SH,,NORGES BANK,2022-02-10
CADE,45277,1519887,SH,,NORGES BANK,2022-02-10
CDNS,448422,2406345,SH,,NORGES BANK,2022-02-10
CAE,71645,2837909,SH,,NORGES BANK,2022-02-10
CZR,178319,1906540,SH,,NORGES BANK,2022-02-10
M20598104,1117,98500,SH,,NORGES BANK,2022-02-10
CALM,12323,333155,SH,,NORGES BANK,2022-02-10
CVGW,5454,128637,SH,,NORGES BANK,2022-02-10
CWT,31377,436640,SH,,NORGES BANK,2022-02-10
CALX,39337,491891,SH,,NORGES BANK,2022-02-10
MODG,34655,1262922,SH,,NORGES BANK,2022-02-10
G17766109,1381,53900,SH,,NORGES BANK,2022-02-10
CPT,409197,2290112,SH,,NORGES BANK,2022-02-10
CCJ,68182,3124740,SH,,NORGES BANK,2022-02-10
CPB,24110,554767,SH,,NORGES BANK,2022-02-10
CWH,8145,201597,SH,,NORGES BANK,2022-02-10
CAN,2223,431607,SH,,NORGES BANK,2022-02-10
NKE,1894686,11367887,SH,,NORGES BANK,2022-02-10
654110105,168174,17038863,SH,,NORGES BANK,2022-02-10
NIO,435592,13749756,SH,,NORGES BANK,2022-02-10
NI,42312,1532472,SH,,NORGES BANK,2022-02-10
NIU,4826,299540,SH,,NORGES BANK,2022-02-10
LASR,1140,47614,SH,,NORGES BANK,2022-02-10
NMIH,19405,888096,SH,,NORGES BANK,2022-02-10
NOAH,8254,268932,SH,,NORGES BANK,2022-02-10
G6564A105,34903,1374685,SH,,NORGES BANK,2022-02-10
NDSN,131958,516936,SH,,NORGES BANK,2022-02-10
JWN,21213,937795,SH,,NORGES BANK,2022-02-10
NSC,625050,2099525,SH,,NORGES BANK,2022-02-10
NTRS,160474,1341644,SH,,NORGES BANK,2022-02-10
NWBI,16574,1170504,SH,,NORGES BANK,2022-02-10
NWN,13019,266897,SH,,NORGES BANK,2022-02-10
NWE,35438,619981,SH,,NORGES BANK,2022-02-10
GEN,117464,4521330,SH,,NORGES BANK,2022-02-10
G66721104,68299,3293093,SH,,NORGES BANK,2022-02-10
NOV,24060,1775641,SH,,NORGES BANK,2022-02-10
M7516K103,202,1401,SH,,NORGES BANK,2022-02-10
NG,13600,1982697,SH,,NORGES BANK,2022-02-10
NOVT,54935,311545,SH,,NORGES BANK,2022-02-10
NVAX,88297,617156,SH,,NORGES BANK,2022-02-10
G6674U108,65187,868238,SH,,NORGES BANK,2022-02-10
DNOW,9041,1058633,SH,,NORGES BANK,2022-02-10
G6683N103,5916,630732,SH,,NORGES BANK,2022-02-10
NUS,23843,469811,SH,,NORGES BANK,2022-02-10
67020Y100,149140,2695943,SH,,NORGES BANK,2022-02-10
NUE,683804,5990397,SH,,NORGES BANK,2022-02-10
NTNX,68740,2157563,SH,,NORGES BANK,2022-02-10
NTR,381038,5065483,SH,,NORGES BANK,2022-02-10
670704105,27018,514823,SH,,NORGES BANK,2022-02-10
NVEI,39798,613469,SH,,NORGES BANK,2022-02-10
NVEE,3536,25600,SH,,NORGES BANK,2022-02-10
G6700G107,63562,1672694,SH,,NORGES BANK,2022-02-10
NVDA,6279217,21349893,SH,,NORGES BANK,2022-02-10
NVR,182300,30852,SH,,NORGES BANK,2022-02-10
N6596X109,492516,2162245,SH,,NORGES BANK,2022-02-10
67181A107,1200,36197,SH,,NORGES BANK,2022-02-10
OTLY,19724,2477950,SH,,NORGES BANK,2022-02-10
OII,11537,1020108,SH,,NORGES BANK,2022-02-10
ONIT,1203,30100,SH,,NORGES BANK,2022-02-10
OPI,11545,464786,SH,,NORGES BANK,2022-02-10
OGE,57675,1502744,SH,,NORGES BANK,2022-02-10
OI,22470,1867792,SH,,NORGES BANK,2022-02-10
OKTA,240716,1073809,SH,,NORGES BANK,2022-02-10
OLPX,225203,7730975,SH,,NORGES BANK,2022-02-10
ODFL,335106,935059,SH,,NORGES BANK,2022-02-10
ONB,29009,1600955,SH,,NORGES BANK,2022-02-10
ORI,68924,2804084,SH,,NORGES BANK,2022-02-10
OLMA,3771,402900,SH,,NORGES BANK,2022-02-10
OLN,86053,1496047,SH,,NORGES BANK,2022-02-10
OLLI,31936,623876,SH,,NORGES BANK,2022-02-10
OLO,600,28820,SH,,NORGES BANK,2022-02-10
OHI,69919,2362925,SH,,NORGES BANK,2022-02-10
OMCL,64343,356591,SH,,NORGES BANK,2022-02-10
OMC,29659,404791,SH,,NORGES BANK,2022-02-10
H5919C104,9742,257647,SH,,NORGES BANK,2022-02-10
ON,373702,5502092,SH,,NORGES BANK,2022-02-10
OGS,32448,418202,SH,,NORGES BANK,2022-02-10
OMF,55289,1104905,SH,,NORGES BANK,2022-02-10
OKE,188577,3209283,SH,,NORGES BANK,2022-02-10
ONTO,12096,119492,SH,,NORGES BANK,2022-02-10
OOMA,774,37874,SH,,NORGES BANK,2022-02-10
LPRO,19628,873144,SH,,NORGES BANK,2022-02-10
OTEX,133815,2817123,SH,,NORGES BANK,2022-02-10
OPEN,62498,4277771,SH,,NORGES BANK,2022-02-10
OPK,20569,4276383,SH,,NORGES BANK,2022-02-10
GOOS,17653,476094,SH,,NORGES BANK,2022-02-10
CM,478882,4105304,SH,,NORGES BANK,2022-02-10
CNI,654343,5323076,SH,,NORGES BANK,2022-02-10
13645T100,672023,9339320,SH,,NORGES BANK,2022-02-10
CNNE,27945,795011,SH,,NORGES BANK,2022-02-10
13781Y103,4618,518313,SH,,NORGES BANK,2022-02-10
COF,528618,3643378,SH,,NORGES BANK,2022-02-10
CFFN,12423,1096464,SH,,NORGES BANK,2022-02-10
G1890L107,103411,1593145,SH,,NORGES BANK,2022-02-10
CAH,153312,2977510,SH,,NORGES BANK,2022-02-10
141619106,5264,280324,SH,,NORGES BANK,2022-02-10
ARI,19029,1445981,SH,,NORGES BANK,2022-02-10
03768E105,34318,473812,SH,,NORGES BANK,2022-02-10
APPF,19116,157907,SH,,NORGES BANK,2022-02-10
03783T103,12448,3200000,SH,,NORGES BANK,2022-02-10
APPN,20735,317968,SH,,NORGES BANK,2022-02-10
APLE,33339,2064317,SH,,NORGES BANK,2022-02-10
AAPL,25228507,142076403,SH,,NORGES BANK,2022-02-10
AIT,40571,395047,SH,,NORGES BANK,2022-02-10
AMAT,1146885,7288288,SH,,NORGES BANK,2022-02-10
ATR,63138,515497,SH,,NORGES BANK,2022-02-10
G6095L109,545022,3304165,SH,,NORGES BANK,2022-02-10
ARMK,81387,2208601,SH,,NORGES BANK,2022-02-10
G0450A105,250108,5626721,SH,,NORGES BANK,2022-02-10
ADM,402080,5948807,SH,,NORGES BANK,2022-02-10
AROC,10219,1366178,SH,,NORGES BANK,2022-02-10
03966V107,84684,2565393,SH,,NORGES BANK,2022-02-10
ACA,15080,286140,SH,,NORGES BANK,2022-02-10
ARQT,5504,265393,SH,,NORGES BANK,2022-02-10
040047607,52600,565956,SH,,NORGES BANK,2022-02-10
ARCC,4844,228600,SH,,NORGES BANK,2022-02-10
ARES,102269,1258380,SH,,NORGES BANK,2022-02-10
AGX,905,23400,SH,,NORGES BANK,2022-02-10
G0464B107,19168,329853,SH,,NORGES BANK,2022-02-10
ANET,304448,2117898,SH,,NORGES BANK,2022-02-10
042315507,6727,685710,SH,,NORGES BANK,2022-02-10
AWI,50221,432491,SH,,NORGES BANK,2022-02-10
ARRY,113164,7212481,SH,,NORGES BANK,2022-02-10
ARW,92533,689156,SH,,NORGES BANK,2022-02-10
ARWR,45802,690823,SH,,NORGES BANK,2022-02-10
APAM,23710,497694,SH,,NORGES BANK,2022-02-10
ARVN,50546,615370,SH,,NORGES BANK,2022-02-10
ASAN,23048,309158,SH,,NORGES BANK,2022-02-10
ABG,21450,124183,SH,,NORGES BANK,2022-02-10
ASND,5216,38771,SH,,NORGES BANK,2022-02-10
ASGN,43303,350916,SH,,NORGES BANK,2022-02-10
ASH,60113,558361,SH,,NORGES BANK,2022-02-10
045327103,98240,645468,SH,,NORGES BANK,2022-02-10
AMK,731,27900,SH,,NORGES BANK,2022-02-10
ASB,34414,1523422,SH,,NORGES BANK,2022-02-10
AIZ,95465,612503,SH,,NORGES BANK,2022-02-10
G0585R106,35020,697609,SH,,NORGES BANK,2022-02-10
ASTE,14437,208420,SH,,NORGES BANK,2022-02-10
AZN,542230,9308677,SH,,NORGES BANK,2022-02-10
T,1740054,70733904,SH,,NORGES BANK,2022-02-10
046513107,15380,975858,SH,,NORGES BANK,2022-02-10
AVIR,975,109095,SH,,NORGES BANK,2022-02-10
G0684D107,217267,2607307,SH,,NORGES BANK,2022-02-10
ATKR,60335,542632,SH,,NORGES BANK,2022-02-10
AUB,26097,699829,SH,,NORGES BANK,2022-02-10
G0751N103,19399,542482,SH,,NORGES BANK,2022-02-10
Y0436Q109,9045,637895,SH,,NORGES BANK,2022-02-10
G06242104,364752,956625,SH,,NORGES BANK,2022-02-10
ATO,7732,73797,SH,,NORGES BANK,2022-02-10
ATNI,3926,98263,SH,,NORGES BANK,2022-02-10
G0625A105,2104,82454,SH,,NORGES BANK,2022-02-10
RERE,1153,194030,SH,,NORGES BANK,2022-02-10
OPCH,42794,1504701,SH,,NORGES BANK,2022-02-10
ORCL,947274,10861986,SH,,NORGES BANK,2022-02-10
ORLY,449778,636872,SH,,NORGES BANK,2022-02-10
ORGO,3092,334600,SH,,NORGES BANK,2022-02-10
OGN,60137,1974938,SH,,NORGES BANK,2022-02-10
OESX,251,69200,SH,,NORGES BANK,2022-02-10
L72967109,10268,559238,SH,,NORGES BANK,2022-02-10
ONL,9893,529890,SH,,NORGES BANK,2022-02-10
ORA,15823,199534,SH,,NORGES BANK,2022-02-10
G6829J107,24998,1168691,SH,,NORGES BANK,2022-02-10
