submission_cik,1987Q1,2010Q1,2010Q2,2011Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,1987Q1_percent_change,2010Q1_percent_change,2010Q2_percent_change,2011Q3_percent_change,2015Q4_percent_change,2016Q1_percent_change,2016Q2_percent_change,2016Q3_percent_change,2016Q4_percent_change,2017Q1_percent_change,2017Q2_percent_change,2017Q3_percent_change,2017Q4_percent_change,2018Q1_percent_change,2018Q2_percent_change,2018Q3_percent_change,2018Q4_percent_change,2019Q1_percent_change,2019Q2_percent_change,2019Q3_percent_change,2019Q4_percent_change,2020Q1_percent_change,2020Q2_percent_change,2020Q3_percent_change,2020Q4_percent_change,2021Q1_percent_change,2021Q2_percent_change,2021Q3_percent_change,2021Q4_percent_change,2022Q1_percent_change,2022Q2_percent_change,2022Q3_percent_change,2022Q4_percent_change,2023Q1_percent_change,2023Q2_percent_change,2023Q3_percent_change,2023Q4_percent_change,2024Q1_percent_change,2024Q2_percent_change,2024Q3_percent_change
1749824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142219,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1749890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1749914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773,806,1077,1469,1590,1738,1114,1100,1068,1084,1029,1029,21009,21324,21022,21631,21496,28569,27842,36058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-54.540327129159614,33.62282878411911,36.39740018570101,8.236895847515324,9.308176100628929,-35.903337169159954,-1.2567324955116699,-2.9090909090909056,1.4981273408239737,-5.0738007380073835,0.0,1941.6909620991255,1.4993574182493141,-1.416244607015571,2.8969650841975003,-0.6241042947621511,32.90379605508002,-2.5447163008855744,29.509374326557
1749980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,619,627,648,654,642,642,631,620,638,675,11937,12958,14884,17453,17450,17050,16758,17382,17466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,24.547283702213285,1.292407108239102,3.349282296650724,0.92592592592593,-1.834862385321101,0.0,-1.7133956386292781,-1.7432646592709933,2.9032258064516148,5.799373040752354,1668.4444444444446,8.553237831951076,14.86340484642692,17.260145122278956,-0.01718902194465244,-2.2922636103151817,-1.7126099706744835,3.723594701038313,0.48325854332067486
1750312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28170,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-100.0,0.0
1750403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,472,442,493,453,411,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0706638115631772,-6.355932203389836,11.538461538461542,-8.113590263691684,-9.27152317880795,-42.579075425790755,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,821,736,792,806,830,619,621,627,730,711,12135,12603,12597,13196,14187,14339,14339,14620,24415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-59.51676528599605,-10.353227771010964,7.608695652173902,1.7676767676767735,2.977667493796532,-25.421686746987948,0.3231017770597644,0.9661835748792313,16.427432216905903,-2.602739726027392,1606.7510548523205,3.856613102595796,-0.04760771244941564,4.755100420735103,7.50985147014247,1.0714033974765558,0.0,1.9596903549759404,66.99726402188782
1750557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,266,162,157,175,175,187,177,229,173,185,2180,0,0,0,0,1600,1400,1400,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-2.564102564102566,-39.097744360902254,-3.0864197530864224,11.46496815286624,0.0,6.8571428571428505,-5.3475935828877,29.378531073446325,-24.45414847161572,6.936416184971095,1078.3783783783783,-100.0,0.0,0.0,0.0,inf,-12.5,0.0,0.0
1750585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80700,4800,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-94.05204460966543,-100.0,0.0,0.0
